team,abbrev,seed,round,pick_pct,pick_count
Queens University Royals,QUC,15,Championship,0.0429,6627
Michigan Wolverines,MICH,1,Championship,14.2491,2202047
Howard Bison,HOW,16,Championship,0.0888,13730
Georgia Bulldogs,UGA,8,Championship,0.1562,24135
Saint Louis Billikens,SLU,9,Championship,0.0959,14826
Texas Tech Red Raiders,TTU,5,Championship,0.3274,50599
Akron Zips,AKR,12,Championship,0.0553,8540
Alabama Crimson Tide,ALA,4,Championship,0.5593,86428
Hofstra Pride,HOF,13,Championship,0.0332,5137
Tennessee Volunteers,TENN,6,Championship,0.375,57949
M-OH/SMU,M-OH/SMU,11,Championship,0.1011,15625
Virginia Cavaliers,UVA,3,Championship,1.0265,158637
Wright State Raiders,WRST,14,Championship,0.0272,4197
Kentucky Wildcats,UK,7,Championship,0.4277,66101
Santa Clara Broncos,SCU,10,Championship,0.0486,7504
Iowa State Cyclones,ISU,2,Championship,2.8484,440196
Tennessee State Tigers,TNST,15,Championship,0.0496,7671
Clemson Tigers,CLEM,8,R1,41.4563,6406586
Iowa Hawkeyes,IOWA,9,R1,58.5437,9047246
Iowa State Cyclones,ISU,2,R1,95.8863,14818036
Tennessee State Tigers,TNST,15,R1,4.1137,635727
BYU Cougars,BYU,6,R1,75.791,11712564
Texas Longhorns,TEX,11,R1,24.209,3741199
Arizona Wildcats,ARIZ,1,R1,97.4614,15061516
Long Island University Sharks,LIU,16,R1,2.5386,392316
Florida Gators,FLA,1,S16,72.6576,11228434
Prairie View A&M Panthers,PV,16,S16,0.6035,93268
Clemson Tigers,CLEM,8,S16,1.9538,301932
Iowa Hawkeyes,IOWA,9,S16,2.0364,314708
Vanderbilt Commodores,VAN,5,S16,13.6813,2114290
McNeese Cowboys,MCN,12,S16,0.7876,121708
Nebraska Cornhuskers,NEB,4,S16,7.7959,1204764
Troy Trojans,TROY,13,S16,0.484,74794
Michigan Wolverines,MICH,1,R2,92.0705,14228356
Howard Bison,HOW,16,R2,1.0302,159197
Georgia Bulldogs,UGA,8,R2,3.9169,605303
Saint Louis Billikens,SLU,9,R2,2.9825,460907
North Carolina Tar Heels,UNC,6,R2,23.6385,3653068
VCU Rams,VCU,11,R2,5.7869,894307
Illinois Fighting Illini,ILL,3,R2,67.841,10484085
Pennsylvania Quakers,PENN,14,R2,2.7335,422438
Arizona Wildcats,ARIZ,1,F4,36.633,5661234
Long Island University Sharks,LIU,16,F4,0.4375,67605
Villanova Wildcats,VILL,8,F4,0.3744,57858
Utah State Aggies,USU,9,F4,0.1335,20638
Wisconsin Badgers,WIS,5,F4,1.1753,181633
High Point Panthers,HPU,12,F4,0.0896,13840
Arkansas Razorbacks,ARK,4,F4,4.1712,644614
Hawai'i Rainbow Warriors,HAW,13,F4,0.1498,23153
BYU Cougars,BYU,6,F4,1.0659,164718
Texas Longhorns,TEX,11,F4,0.1888,29184
Gonzaga Bulldogs,GONZ,3,F4,4.2461,656194
Kennesaw State Owls,KENN,14,F4,0.0642,9926
Miami Hurricanes,MIA,7,F4,0.5736,88641
Missouri Tigers,MIZ,10,F4,0.1629,25175
Purdue Boilermakers,PUR,2,F4,6.981,1078833
Queens University Royals,QUC,15,F4,0.0904,13963
Michigan Wolverines,MICH,1,F4,28.604,4420430
Howard Bison,HOW,16,F4,0.177,27359
Georgia Bulldogs,UGA,8,F4,0.2994,46263
Saint Louis Billikens,SLU,9,F4,0.192,29667
Texas Tech Red Raiders,TTU,5,F4,0.8499,131348
Akron Zips,AKR,12,F4,0.1049,16212
Alabama Crimson Tide,ALA,4,F4,1.3183,203734
Hofstra Pride,HOF,13,F4,0.0711,10991
Tennessee Volunteers,TENN,6,F4,0.8318,128542
M-OH/SMU,M-OH/SMU,11,F4,0.1726,26676
Virginia Cavaliers,UVA,3,F4,2.7008,417381
Wright State Raiders,WRST,14,F4,0.0593,9167
Kentucky Wildcats,UK,7,F4,0.8324,128635
Santa Clara Broncos,SCU,10,F4,0.1101,17016
Iowa State Cyclones,ISU,2,F4,7.0266,1085881
Tennessee State Tigers,TNST,15,F4,0.1125,17387
Duke Blue Devils,DUKE,1,E8,60.0387,9278245
Siena Saints,SIE,16,E8,0.5156,79687
Ohio State Buckeyes,OSU,8,E8,0.8568,132415
TCU Horned Frogs,TCU,9,E8,0.3439,53145
St. John's Red Storm,SJU,5,E8,5.8197,899368
Northern Iowa Panthers,UNI,12,E8,0.1748,27014
Kansas Jayhawks,KU,4,E8,4.2421,655558
California Baptist Lancers,CBU,13,E8,0.1379,21314
Louisville Cardinals,LOU,6,E8,1.0857,167778
South Florida Bulls,USF,11,E8,0.3535,54631
Michigan State Spartans,MSU,3,E8,10.0252,1549275
North Dakota State Bison,NDSU,14,E8,0.1367,21132
UCLA Bruins,UCLA,7,E8,1.1989,185268
UCF Knights,UCF,10,E8,0.2332,36039
UConn Huskies,CONN,2,E8,14.6446,2263142
Furman Paladins,FUR,15,E8,0.1925,29752
UCLA Bruins,UCLA,7,R1,66.3404,10252034
UCF Knights,UCF,10,R1,33.6596,5201652
Duke Blue Devils,DUKE,1,R2,92.7112,14327298
Siena Saints,SIE,16,R2,0.9861,152395
Ohio State Buckeyes,OSU,8,R2,3.9983,617888
TCU Horned Frogs,TCU,9,R2,2.3043,356104
Texas Tech Red Raiders,TTU,5,R1,77.3241,11949531
Akron Zips,AKR,12,R1,22.6759,3504288
Villanova Wildcats,VILL,8,R1,51.1933,7911315
Utah State Aggies,USU,9,R1,48.8067,7542504
Louisville Cardinals,LOU,6,S16,5.4227,838015
South Florida Bulls,USF,11,S16,1.5955,246559
Michigan State Spartans,MSU,3,S16,36.2074,5595443
North Dakota State Bison,NDSU,14,S16,0.3897,60216
UCLA Bruins,UCLA,7,S16,6.1905,956672
UCF Knights,UCF,10,S16,1.1024,170357
UConn Huskies,CONN,2,S16,48.2612,7458218
Furman Paladins,FUR,15,S16,0.8306,128367
Miami Hurricanes,MIA,7,R2,13.1961,2039290
Missouri Tigers,MIZ,10,R2,5.9674,922180
Purdue Boilermakers,PUR,2,R2,79.3334,12259991
Queens University Royals,QUC,15,R2,1.5031,232290
Vanderbilt Commodores,VAN,5,R2,54.6328,8442890
McNeese Cowboys,MCN,12,R2,5.1085,789457
Nebraska Cornhuskers,NEB,4,R2,37.4864,5793115
Troy Trojans,TROY,13,R2,2.7723,428434
Tennessee Volunteers,TENN,6,S16,9.7436,1505741
M-OH/SMU,M-OH/SMU,11,S16,1.1792,182237
Virginia Cavaliers,UVA,3,S16,26.4681,4090295
Wright State Raiders,WRST,14,S16,0.3831,59204
Kentucky Wildcats,UK,7,S16,6.7787,1047556
Santa Clara Broncos,SCU,10,S16,1.2822,198148
Iowa State Cyclones,ISU,2,S16,53.3035,8237355
Tennessee State Tigers,TNST,15,S16,0.8616,133150
